FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 17:38:52.113	135131.59912690
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
79.395	76.274	507.371
79.346	71.916	507.104
79.263	67.652	506.900
79.302	63.061	506.685
79.258	58.600	506.511
79.221	54.076	506.428
79.265	49.475	506.315
79.244	44.905	506.306
79.206	40.346	506.374
79.203	35.713	506.531
79.111	31.198	506.611
79.111	26.652	506.934
79.110	22.266	506.927
79.136	17.840	507.162
79.068	13.491	507.481
79.134	9.215	507.753
79.174	5.066	508.050
78.130	3.118	508.178
78.177	-0.816	508.499
78.080	-4.665	508.932
78.122	-8.476	509.460
78.131	-12.036	509.935
78.077	-15.616	510.399
78.120	-19.020	510.933
78.065	-22.302	511.464
78.065	-25.367	511.944
78.068	-28.307	512.447
78.001	-31.180	512.945
78.003	-33.773	513.500
78.017	-36.166	513.918
77.996	-38.394	514.414
77.988	-40.453	514.786
77.978	-42.329	515.178
77.945	-44.056	515.597
77.943	-45.509	515.911
78.006	-46.846	516.116
77.917	-47.952	516.449
77.979	-48.820	516.582
77.918	-49.579	516.728
77.905	-50.106	516.937
77.924	-50.403	516.991
77.928	-50.521	516.999
77.923	-50.458	517.009
77.889	-50.210	516.969
77.894	-49.764	516.853
77.979	-49.012	516.604
77.897	-48.165	516.510
77.979	-47.027	516.119
77.913	-45.800	515.963
77.941	-44.284	515.582
77.955	-42.576	515.216
77.966	-40.683	514.864
77.978	-38.615	514.387
77.994	-36.426	513.892
77.968	-34.047	513.557
78.920	-33.742	513.674
79.948	-33.378	513.727
80.005	-30.420	513.175
78.963	-25.013	512.087
78.926	-21.897	511.605
78.965	-18.463	511.111
78.974	-14.998	510.583
78.995	-11.295	510.046
79.033	-7.649	509.622
79.011	-3.653	509.074
79.027	0.214	508.708
79.056	4.216	508.303
79.097	8.436	507.851
79.088	12.651	507.536
79.066	16.928	507.440
79.155	21.309	507.242
79.115	25.813	506.861
79.105	30.254	506.591
79.085	34.790	506.523
79.182	39.112	506.514
79.188	43.683	506.406
79.184	48.317	506.384
79.289	52.645	506.626
79.268	57.277	506.574
79.376	61.588	506.794
79.369	66.042	506.946
79.366	70.541	507.120
79.437	74.774	507.528
79.504	79.046	507.704
79.558	83.137	508.122
79.569	87.357	508.389
79.615	91.365	508.794
79.682	95.167	509.345
79.679	99.000	509.753
79.745	102.573	510.362
79.797	106.070	510.816
79.816	109.520	511.197
79.874	112.740	511.727
79.864	115.938	512.083
79.958	118.739	512.724
79.253	122.953	512.819
79.966	124.232	513.671
80.018	126.667	514.067
80.046	128.942	514.520
80.092	131.035	514.932
80.078	133.036	515.344
80.162	134.677	515.781
80.162	136.277	516.061
79.528	138.917	516.063
80.184	138.829	516.587
80.164	139.826	516.804
80.179	140.588	516.958
80.177	141.161	517.132
80.197	141.497	517.150
80.199	141.628	517.184
80.199	141.571	517.163
80.252	141.192	517.277
80.164	140.925	517.016
80.154	140.277	516.950
80.181	139.388	516.733
80.162	138.329	516.580
80.190	137.025	516.413
79.467	137.064	515.634
80.081	134.203	515.565
80.063	132.410	515.261
80.083	130.329	515.004
80.013	128.285	514.442
79.929	126.058	513.951
79.900	123.556	513.450
79.918	120.773	513.141
79.814	118.070	512.575
79.757	115.142	511.970
79.744	111.948	511.465
79.766	108.470	511.226
79.691	105.134	510.679
79.636	101.626	510.041
79.631	97.886	509.662
79.618	94.064	509.320
79.557	90.262	508.782
79.536	86.204	508.448
79.473	82.240	508.033
79.483	78.033	507.765
79.410	73.888	507.400
79.317	69.769	507.080
79.337	65.225	507.034
79.299	60.880	506.768
79.284	56.460	506.707
79.272	52.011	506.604
79.204	47.592	506.529
79.219	43.030	506.512
79.183	38.579	506.562
79.172	34.164	506.594
79.156	29.719	506.802
79.140	25.309	506.938
79.116	20.970	507.135
79.083	16.647	507.435
79.098	12.463	507.504
79.141	8.292	507.849
78.153	6.257	507.880
78.187	2.300	508.294
79.125	-3.631	508.959
80.174	-9.911	509.978
80.230	-13.581	510.361
80.177	-17.214	510.852
80.156	-20.578	511.372
79.065	-21.252	511.384
78.040	-22.238	511.413
78.019	-25.189	511.951
78.073	-28.044	512.382
78.026	-30.638	512.874
77.979	-33.161	513.472
77.956	-35.479	513.793
77.931	-37.639	514.247
77.931	-39.552	514.630
77.995	-41.312	514.872
77.970	-42.857	515.255
77.942	-44.283	515.565
77.931	-45.502	515.882
77.943	-46.503	516.038
78.019	-47.251	516.119
77.932	-48.005	516.370
77.935	-48.406	516.478
77.942	-48.592	516.519
77.953	-48.653	516.579
77.941	-48.506	516.511
77.918	-48.178	516.463
77.922	-47.611	516.302
77.993	-46.856	516.038
77.942	-45.946	515.929
77.976	-44.735	515.571
77.978	-43.320	515.343
77.947	-41.871	515.093
77.953	-40.135	514.638
77.965	-38.193	514.269
77.963	-36.110	513.844
77.961	-33.877	513.431
78.960	-33.786	513.574
79.970	-33.525	513.672
80.070	-30.784	513.083
79.996	-27.857	512.642
78.952	-22.400	511.629
79.019	-19.177	511.131
78.966	-15.805	510.694
78.965	-12.342	510.223
79.025	-8.716	509.724
78.989	-5.025	509.301
79.088	-1.167	508.811
79.056	2.802	508.388
78.159	8.707	507.669
79.133	10.919	507.702
79.092	15.130	507.447
79.042	19.335	507.447
79.057	23.609	507.222
79.135	28.056	506.931
79.190	32.413	506.677
79.194	36.837	506.477
79.212	41.227	506.523
79.281	45.544	506.623
79.267	50.032	506.677
79.279	54.454	506.499
79.318	58.806	506.837
79.418	63.073	507.062
79.378	67.529	507.144
79.437	71.773	507.365
79.474	75.962	507.709
79.529	80.107	507.945
79.559	84.165	508.276
79.629	88.080	508.694
79.620	92.112	508.936
79.673	95.809	509.475
79.695	99.488	509.962
79.793	102.895	510.417
79.784	106.359	510.882
79.830	109.613	511.339
79.867	112.747	511.760
79.895	115.728	512.220
79.930	118.570	512.693
79.929	121.242	513.164
79.965	123.763	513.548
79.996	126.106	514.001
80.105	128.066	514.558
79.429	131.491	514.545
80.101	132.032	515.160
80.086	133.692	515.544
80.127	135.120	515.810
80.175	136.296	516.147
79.503	138.708	516.040
80.169	138.262	516.548
80.178	138.954	516.617
80.215	139.316	516.878
80.159	139.722	516.763
80.159	139.779	516.785
80.149	139.641	516.760
80.152	139.324	516.727
80.180	138.740	516.566
79.505	139.316	516.200
80.190	137.025	516.406
80.159	135.980	516.069
79.427	136.139	515.378
80.062	133.372	515.439
80.050	131.707	515.028
79.352	131.222	514.381
79.290	129.279	513.966
79.304	127.032	513.585
79.904	123.412	513.414
79.939	120.751	513.034
79.847	118.191	512.479
79.790	115.406	512.009
79.764	112.381	511.538
79.762	109.117	511.201
79.721	105.860	510.574
79.657	102.486	510.151
