FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:12:55.637	115575.15614330
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
106.038	-25.109	437.983
105.997	-25.532	438.065
105.971	-25.957	438.138
105.973	-26.141	438.125
106.009	-26.194	438.135
105.906	-26.203	438.113
105.890	-26.015	438.123
105.770	-25.744	438.056
105.806	-25.308	437.964
105.862	-24.503	437.885
105.760	-23.860	437.835
105.631	-23.055	437.779
105.581	-21.963	437.637
105.667	-20.733	437.532
105.627	-19.514	437.403
105.500	-18.116	437.305
105.560	-16.563	437.112
105.627	-14.712	437.004
105.595	-13.047	436.810
105.469	-11.142	436.661
105.629	-8.956	436.488
105.571	-6.947	436.288
105.421	-4.738	436.178
105.464	-2.405	436.031
105.603	0.070	435.866
105.535	2.601	435.680
105.529	5.228	435.559
105.505	7.824	435.493
105.517	10.637	435.392
105.548	13.528	435.267
105.530	16.447	435.201
105.544	19.359	435.132
105.573	22.469	435.082
105.565	25.462	435.082
105.589	28.507	435.028
105.594	31.664	435.027
105.418	34.785	435.042
105.496	37.819	435.118
105.467	41.131	435.165
105.457	44.337	435.239
105.339	47.364	435.348
105.393	50.636	435.463
105.388	53.823	435.691
105.329	56.989	435.809
105.284	60.041	435.920
105.244	63.241	436.201
105.107	66.167	436.462
105.106	69.160	436.667
105.076	72.138	436.965
105.059	74.961	437.072
105.027	77.797	437.389
104.941	80.597	437.689
104.953	83.221	437.973
104.857	85.812	438.189
104.814	88.438	438.545
104.720	90.920	438.870
104.750	93.228	439.145
104.700	95.420	439.428
104.639	97.533	439.726
104.589	99.591	440.048
104.525	101.535	440.295
104.524	103.418	440.537
104.501	105.062	440.780
104.446	106.648	441.044
104.395	108.085	441.259
104.375	109.392	441.492
104.386	110.557	441.696
104.430	111.507	441.830
104.440	112.384	441.996
104.431	113.173	442.134
104.424	113.840	442.242
104.454	114.313	442.325
104.438	114.691	442.377
104.437	114.915	442.417
104.452	114.987	442.440
104.497	114.946	442.439
104.522	114.699	442.383
104.547	114.476	442.411
104.529	113.986	442.297
104.622	113.383	442.230
104.658	112.604	442.094
104.687	111.712	441.953
104.711	110.727	441.786
104.721	109.607	441.583
104.767	108.280	441.317
104.816	106.872	441.095
104.887	105.300	440.828
104.907	103.685	440.589
104.943	101.897	440.302
105.022	100.019	440.019
105.014	98.019	439.749
104.992	95.840	439.505
104.966	93.726	439.247
105.033	91.456	438.953
105.103	88.986	438.605
105.021	86.423	438.284
105.046	83.836	437.975
105.063	81.258	437.747
104.993	78.548	437.429
105.059	75.697	437.091
105.009	72.851	436.899
104.957	70.041	436.679
104.999	67.047	436.423
104.983	64.052	436.212
105.053	60.953	435.952
105.033	57.931	435.777
105.041	54.856	435.610
104.975	51.696	435.513
104.924	48.482	435.331
104.975	45.270	435.204
104.989	42.216	435.170
105.005	39.041	435.071
105.066	35.876	434.964
104.999	32.819	434.951
105.138	29.750	434.997
105.170	26.724	434.995
105.253	23.634	434.977
105.217	20.783	435.044
105.255	17.839	435.124
105.325	14.960	435.196
105.328	12.172	435.236
105.368	9.391	435.391
105.461	6.699	435.508
105.427	4.153	435.657
105.532	1.580	435.696
105.669	-0.720	435.863
105.718	-3.127	436.076
105.630	-5.338	436.219
105.753	-7.439	436.327
105.875	-9.434	436.519
105.876	-11.270	436.669
105.934	-13.104	436.813
105.878	-14.779	436.971
105.970	-16.379	437.077
106.005	-17.671	437.265
106.035	-19.042	437.378
106.026	-20.261	437.529
106.195	-21.131	437.622
106.181	-22.051	437.718
106.078	-22.959	437.802
106.114	-23.561	437.848
106.214	-23.916	437.899
106.145	-24.286	437.901
106.125	-24.527	437.902
106.153	-24.668	437.911
106.126	-24.473	437.885
106.027	-24.362	437.871
106.093	-23.959	437.870
105.978	-23.553	437.842
105.910	-22.977	437.762
105.902	-22.174	437.694
105.881	-21.201	437.584
105.859	-20.211	437.513
105.743	-19.025	437.331
105.660	-17.808	437.265
105.630	-16.483	437.119
105.638	-14.785	436.991
105.653	-13.196	436.815
105.623	-11.326	436.708
105.606	-9.349	436.534
105.572	-7.489	436.336
105.461	-5.314	436.243
105.519	-3.206	436.051
105.429	-0.892	435.862
105.373	1.458	435.736
105.373	4.071	435.639
105.332	6.499	435.496
105.374	9.231	435.389
105.298	11.912	435.241
105.363	14.773	435.246
105.377	17.585	435.131
105.338	20.526	435.085
105.362	23.398	435.038
105.358	26.450	435.033
105.337	29.455	435.028
105.246	32.354	434.987
105.338	35.591	435.043
105.245	38.616	435.109
105.269	41.767	435.164
105.251	44.867	435.240
105.240	47.891	435.342
105.239	51.079	435.483
105.354	54.218	435.658
105.304	57.285	435.838
105.269	60.248	435.950
105.252	63.361	436.204
105.159	66.243	436.470
105.206	69.168	436.667
105.156	72.049	436.963
105.170	74.791	437.061
105.171	77.590	437.362
105.043	80.292	437.667
105.098	82.877	437.955
105.034	85.343	438.152
105.000	87.853	438.474
104.983	90.359	438.803
104.902	92.619	439.088
104.877	94.662	439.345
104.817	96.734	439.639
104.785	98.700	439.943
104.794	100.666	440.139
104.721	102.368	440.373
104.681	103.997	440.647
104.572	105.545	440.876
104.564	106.923	441.105
104.499	108.198	441.293
104.460	109.341	441.471
104.431	110.354	441.654
104.423	111.202	441.824
104.463	111.833	441.893
104.450	112.408	441.995
104.427	112.899	442.072
104.447	113.183	442.145
104.444	113.376	442.169
104.450	113.426	442.173
104.453	113.338	442.163
104.449	113.140	442.139
104.452	112.814	442.056
104.494	112.262	441.989
104.506	111.672	441.875
104.477	111.020	441.799
104.495	110.134	441.621
104.562	109.090	441.440
104.599	107.917	441.235
104.651	106.662	441.051
104.685	105.199	440.798
104.726	103.690	440.576
104.820	102.026	440.292
104.898	100.298	440.034
104.882	98.400	439.764
104.885	96.378	439.577
104.965	94.354	439.282
104.957	92.283	439.039
105.059	89.962	438.741
105.037	87.483	438.426
105.075	84.990	438.098
105.076	82.508	437.902
105.073	79.979	437.612
105.124	77.228	437.286
105.137	74.517	436.968
105.159	71.725	436.794
105.203	68.854	436.586
105.090	65.968	436.387
105.215	63.125	436.163
105.205	60.021	435.895
105.213	57.050	435.749
105.262	53.998	435.604
105.195	50.961	435.470
105.173	47.769	435.334
105.176	44.784	435.246
105.168	41.695	435.139
105.143	38.596	435.068
105.203	35.589	435.005
105.163	32.428	434.983
105.227	29.519	435.002
105.270	26.620	434.982
105.292	23.555	434.974
105.264	20.757	435.055
105.265	17.916	435.117
105.358	15.094	435.168
105.314	12.375	435.225
105.319	9.597	435.367
105.362	7.024	435.524
105.346	4.538	435.583
105.431	2.087	435.711
105.440	-0.265	435.867
105.484	-2.473	436.036
105.527	-4.622	436.127
105.583	-6.716	436.278
105.673	-8.554	436.424
105.687	-10.417	436.567
105.765	-12.089	436.721
105.669	-13.775	436.853
105.794	-15.218	436.996
105.760	-16.734	437.117
105.888	-17.833	437.273
105.958	-18.979	437.372
105.983	-19.955	437.478
